strain	taxonomyId	accession	currentAccession	isRef	level	assemblyStatus	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	taxonomicLevelSerotype	taxonomicLevelIsolate	taxonomicLevelDomainId	taxonomicLevelRealmId	taxonomicLevelKingdomId	taxonomicLevelPhylumId	taxonomicLevelClassId	taxonomicLevelOrderId	taxonomicLevelFamilyId	taxonomicLevelGenusId	taxonomicLevelSpeciesId	taxonomicLevelStrainId	taxonomicLevelSerotypeId	taxonomicLevelIsolateId	commonName	otherTaxa	ucscBrowser	geneModelUrl
I5	5270	GCA_018154835.1	GCA_018154835.1	False	Scaffold	current		19572093	354	521084	11	165	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154835.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/835/GCA_018154835.1/genes/GCA_018154835.1_ASM1815483v1.augustus.gtf.gz
I3	5270	GCA_018154895.1	GCA_018154895.1	False	Scaffold	current		19536456	347	551920	12	171	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154895.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/895/GCA_018154895.1/genes/GCA_018154895.1_ASM1815489v1.augustus.gtf.gz
I2	5270	GCA_018154905.1	GCA_018154905.1	False	Scaffold	current		19792732	931	378139	17	116	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154905.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/905/GCA_018154905.1/genes/GCA_018154905.1_ASM1815490v1.augustus.gtf.gz
I4	5270	GCA_018154945.1	GCA_018154945.1	False	Scaffold	current		21059893	1538	318866	19	192	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154945.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/945/GCA_018154945.1/genes/GCA_018154945.1_ASM1815494v1.augustus.gtf.gz
CBS 119173	5518	GCA_018219475.1	GCA_018219475.1	False	Scaffold	current		36211631	520	117262	95	41	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219475.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/475/GCA_018219475.1/genes/GCA_018219475.1_ASM1821947v1.augustus.gtf.gz
CBS 138562	5518	GCA_018219485.1	GCA_018219485.1	False	Scaffold	current		35578909	402	133787	75	78	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219485.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/485/GCA_018219485.1/genes/GCA_018219485.1_ASM1821948v1.augustus.gtf.gz
S17-12	5518	GCA_018219515.1	GCA_018219515.1	False	Scaffold	current		36795032	38	4101155	4	85	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219515.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/515/GCA_018219515.1/genes/GCA_018219515.1_ASM1821951v1.augustus.gtf.gz
178-7	5518	GCA_018219525.1	GCA_018219525.1	False	Scaffold	current		36060254	45	1494711	8	71	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219525.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/525/GCA_018219525.1/genes/GCA_018219525.1_ASM1821952v1.augustus.gtf.gz
ITA_1377	5518	GCA_018219555.1	GCA_018219555.1	False	Scaffold	current		36008769	80	704217	15	49	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219555.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/555/GCA_018219555.1/genes/GCA_018219555.1_ASM1821955v1.augustus.gtf.gz
0609	5518	GCA_018219565.1	GCA_018219565.1	False	Scaffold	current		35892890	23	2521783	5	105	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219565.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/565/GCA_018219565.1/genes/GCA_018219565.1_ASM1821956v1.augustus.gtf.gz
2t275-1	5518	GCA_018219575.1	GCA_018219575.1	False	Scaffold	current		36227536	47	1143540	9	80	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219575.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/575/GCA_018219575.1/genes/GCA_018219575.1_ASM1821957v1.augustus.gtf.gz
CBS 138563	5518	GCA_018219615.1	GCA_018219615.1	False	Scaffold	current		35997608	551	110135	106	35	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219615.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/615/GCA_018219615.1/genes/GCA_018219615.1_ASM1821961v1.augustus.gtf.gz
04501	5518	GCA_018219625.1	GCA_018219625.1	False	Scaffold	current		36354051	33	1620447	6	91	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219625.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/625/GCA_018219625.1/genes/GCA_018219625.1_ASM1821962v1.augustus.gtf.gz
N7_1	5518	GCA_018219635.1	GCA_018219635.1	False	Scaffold	current		36088098	33	2256578	5	90	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219635.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/635/GCA_018219635.1/genes/GCA_018219635.1_ASM1821963v1.augustus.gtf.gz
16-521-z	5518	GCA_018219645.1	GCA_018219645.1	False	Scaffold	current		35847768	27	2418953	6	83	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219645.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/645/GCA_018219645.1/genes/GCA_018219645.1_ASM1821964v1.augustus.gtf.gz
N10_1	5518	GCA_018219675.1	GCA_018219675.1	False	Scaffold	current		36249482	32	1882167	7	85	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219675.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/675/GCA_018219675.1/genes/GCA_018219675.1_ASM1821967v1.augustus.gtf.gz
N10_2	5518	GCA_018219705.1	GCA_018219705.1	False	Scaffold	current		36118672	27	2769562	4	104	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219705.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/705/GCA_018219705.1/genes/GCA_018219705.1_ASM1821970v1.augustus.gtf.gz
23-4	5518	GCA_018219715.1	GCA_018219715.1	False	Scaffold	current		36236753	76	807944	16	48	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219715.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/715/GCA_018219715.1/genes/GCA_018219715.1_ASM1821971v1.augustus.gtf.gz
N6_1	5518	GCA_018219745.1	GCA_018219745.1	False	Scaffold	current		36594436	16	4100294	4	90	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219745.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/745/GCA_018219745.1/genes/GCA_018219745.1_ASM1821974v1.augustus.gtf.gz
GER_37	5518	GCA_018219765.1	GCA_018219765.1	False	Scaffold	current		35929809	114	479288	23	45	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219765.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/765/GCA_018219765.1/genes/GCA_018219765.1_ASM1821976v1.augustus.gtf.gz
N5_1	5518	GCA_018219795.1	GCA_018219795.1	False	Scaffold	current		36388815	88	728150	13	89	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018219795.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/219/795/GCA_018219795.1/genes/GCA_018219795.1_ASM1821979v1.augustus.gtf.gz
F156N33	40199	GCA_018282135.1	GCA_018282135.1	False	Scaffold	current		41192406	214	1472944	10	51	48.5			Fusarium avenaceum	40199	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,679429,40199	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium avenaceum				2759		4751	4890	147550	5125	110618	5506	40199						https://genome.ucsc.edu/h/GCA_018282135.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/282/135/GCA_018282135.1/genes/GCA_018282135.1_ASM1828213v1.ncbiGene.gtf.gz
IHEM 26955	1658174	GCA_018296045.1	GCA_018296045.1	False	Scaffold	current		32681461	4782	13176	746	168	47.5			Blastomyces percursus	1658174	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,229219,1658174	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces percursus				2759		4751	4890	147545	33183	299071	229219	1658174						https://genome.ucsc.edu/h/GCA_018296045.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/296/045/GCA_018296045.1/genes/GCA_018296045.1_ASM1829604v1.augustus.gtf.gz
IHEM 26951	1658174	GCA_018296055.1	GCA_018296055.1	False	Scaffold	current		32683948	4782	13198	746	226	47.5			Blastomyces percursus	1658174	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,229219,1658174	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces percursus				2759		4751	4890	147545	33183	299071	229219	1658174						https://genome.ucsc.edu/h/GCA_018296055.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/296/055/GCA_018296055.1/genes/GCA_018296055.1_ASM1829605v1.augustus.gtf.gz
IHEM 26956	1658174	GCA_018296065.1	GCA_018296065.1	True	Scaffold	current		32691147	4782	13204	746	116	47.5			Blastomyces percursus	1658174	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,229219,1658174	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces percursus				2759		4751	4890	147545	33183	299071	229219	1658174						https://genome.ucsc.edu/h/GCA_018296065.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/296/065/GCA_018296065.1/genes/GCA_018296065.1_ASM1829606v1.augustus.gtf.gz
IHEM 26957	1658174	GCA_018296075.1	GCA_018296075.1	False	Scaffold	current		32697349	4782	13174	746	238	47.5			Blastomyces percursus	1658174	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,229219,1658174	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces percursus				2759		4751	4890	147545	33183	299071	229219	1658174						https://genome.ucsc.edu/h/GCA_018296075.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/296/075/GCA_018296075.1/genes/GCA_018296075.1_ASM1829607v1.augustus.gtf.gz
Swiss	27973	GCA_018342045.1	GCA_018342045.1	False	Contig	current		2255675	32	175703	6	721	43.5			Encephalitozoon hellem	27973	1,131567,2759,33154,4751,112252,6029,6032,36734,6033,27973	Microsporidia	Eukaryota		Fungi	Microsporidia			Unikaryonidae	Encephalitozoon	Encephalitozoon hellem				2759		4751	6029			36734	6033	27973						https://genome.ucsc.edu/h/GCA_018342045.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/342/045/GCA_018342045.1/genes/GCA_018342045.1_Swiss_hellem_version_1.ncbiGene.gtf.gz
CBS 104.09	5518	GCA_018345295.1	GCA_018345295.1	False	Scaffold	current		36488216	20	2689977	5	116	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018345295.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/345/295/GCA_018345295.1/genes/GCA_018345295.1_ASM1834529v1.augustus.gtf.gz
CBS 119800	5518	GCA_018345315.1	GCA_018345315.1	False	Scaffold	current		34566957	2034	22963	483	21	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018345315.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/345/315/GCA_018345315.1/genes/GCA_018345315.1_ASM1834531v1.augustus.gtf.gz
CBS 119799	5518	GCA_018345325.1	GCA_018345325.1	False	Scaffold	current		36661957	46	1393333	9	132	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018345325.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/345/325/GCA_018345325.1/genes/GCA_018345325.1_ASM1834532v1.augustus.gtf.gz
CBS 185.32	5518	GCA_018345335.1	GCA_018345335.1	False	Scaffold	current		36514933	28	2034795	6	84	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018345335.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/345/335/GCA_018345335.1/genes/GCA_018345335.1_ASM1834533v1.augustus.gtf.gz
CBS 110263	5518	GCA_018345365.1	GCA_018345365.1	False	Scaffold	current		36773101	34	2890039	6	92	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018345365.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/345/365/GCA_018345365.1/genes/GCA_018345365.1_ASM1834536v1.augustus.gtf.gz
70725	5518	GCA_018345395.1	GCA_018345395.1	False	Scaffold	current		36348646	17	3533847	4	82	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018345395.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/345/395/GCA_018345395.1/genes/GCA_018345395.1_ASM1834539v1.augustus.gtf.gz
187-2	5518	GCA_018345415.1	GCA_018345415.1	False	Scaffold	current		36090296	48	1395425	10	75	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018345415.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/345/415/GCA_018345415.1/genes/GCA_018345415.1_ASM1834541v1.augustus.gtf.gz
17-98	5518	GCA_018345435.1	GCA_018345435.1	False	Scaffold	current		36213809	44	1682685	7	80	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018345435.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/345/435/GCA_018345435.1/genes/GCA_018345435.1_ASM1834543v1.augustus.gtf.gz
177-5	5518	GCA_018345455.1	GCA_018345455.1	False	Scaffold	current		36092575	54	1269940	10	76	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018345455.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/345/455/GCA_018345455.1/genes/GCA_018345455.1_ASM1834545v1.augustus.gtf.gz
3-2	5518	GCA_018345475.1	GCA_018345475.1	False	Scaffold	current		36276817	44	2189572	7	74	48.5			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018345475.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/345/475/GCA_018345475.1/genes/GCA_018345475.1_ASM1834547v1.augustus.gtf.gz
Kr375-1	5518	GCA_018345485.1	GCA_018345485.1	False	Scaffold	current		36146965	26	3049653	5	96	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018345485.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/345/485/GCA_018345485.1/genes/GCA_018345485.1_ASM1834548v1.augustus.gtf.gz
58918	5518	GCA_018345515.1	GCA_018345515.1	False	Scaffold	current		36633836	17	4272870	4	93	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum				2759		4751	4890	147550	5125	110618	5506	5518						https://genome.ucsc.edu/h/GCA_018345515.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/345/515/GCA_018345515.1/genes/GCA_018345515.1_ASM1834551v1.augustus.gtf.gz
